Server Info
time,25.731,30.361,51.323,97.396,101.277,101.287,103.722,105.731,108.458,108.707,110.573,113.642,115.946,116.270,117.981,119.742,119.773,121.495,124.091,127.085
elapsed,0.000,4.630,25.592,71.665,75.546,75.556,77.991,80.000,82.727,82.976,84.842,87.911,90.215,90.539,92.250,94.011,94.042,95.764,98.360,101.354
bitrate,1401,1401,400,400,400,400,1401,800,400,2000,2000,2000,1401,2000,800,400,400,400,1401,400
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,6.839,0,0,7.572,0.284,16.273,3.46,1.167,19.358,15.709,3.554,19.968,2.074,8.386,2.171,50.731,25.794,58.884,15.561,63.54
GMSD,0,0,0.80933,0.81636,0.92831,0,0,0,0.90985,0,0,0.85977,0,0.89225,0.93461,0,0,0.65493,0.83773,0
bitrateSwitch,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1
stalling,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stallingTime (sec),0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Throughput (Kbps),3569,1746,2482,1877,3097,3624,2053,2440,2758,2601,1624,2281,3865,3510,5146,2863,4267,1533,1531,1317

IP,10.0.0.28
Attribute,HIGH
initTime,2023-05-18 00:25:09.961437
endTime,2023-05-18 00:27:20.714101
liveTime(sec),130.752664
startupDelay,3413
Total stalling Event,0
player width,1280
player height,720
time,26.641,32.072,83.086,86.218,86.260,88.693,91.063,91.543,93.322,95.635,97.187,97.885,98.220,104.225,108.318,112.190,114.980
elapsed,0.000,5.431,56.445,59.577,59.619,62.052,64.422,64.902,66.681,68.994,70.546,71.244,71.579,77.584,81.677,85.549,88.339
bitrate,2000,2000,2000,1401,1401,800,800,2000,2000,2000,2000,400,1401,800,800,2000,2000
framerate,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
bufferLevel,10.541,5.646,3.608,2.923,4.858,3.602,14.549,16.551,11.712,21.673,6.654,1.586,5.497,16.551,27.647,0.768,26.532
GMSD,0,0,0.87156,0.95626,0,0,0.97503,0.90341,0.97637,0.93472,0,0,0,0.99614,0,0.95579,0
bitrateSwitch,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0
stalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
stallingTime (sec),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Throughput (Kbps),3197,0,2655,1824,1466,3154,2472,3153,1617,1883,3093,1719,2504,3879,2671,0,2241

