Server Info
stalling,0,0,0,0,0,0,0
stallingTime (sec),0,0,0,0,0,0,0
Throughput (Kbps),7765,16739,3246,1988,2140,940,1473

IP,10.0.0.42
Attribute,HIGH
initTime,2023-05-11 13:14:35.255103
endTime,2023-05-11 13:16:50.887170
liveTime(sec),135.632067
startupDelay,267
Total stalling Event,0
player width,1280
player height,720
time,36.556,45.602,59.450,140.573
elapsed,0.000,9.046,22.894,104.017
bitrate,2000,1401,1401,800
framerate,29.97,29.97,29.97,29.97
bufferLevel,5.27,45.355,45.688,45.976
GMSD,0,0,0.98296,0
bitrateSwitch,0,1,0,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7765,16739,3763,1474

IP,10.0.0.20
Attribute,HIGH
initTime,2023-05-11 13:14:36.420811
endTime,2023-05-11 13:16:50.887173
liveTime(sec),134.466362
startupDelay,914
Total stalling Event,0
player width,1280
player height,720
time,40.782,46.222,105.696,120.739
elapsed,0.000,5.440,64.914,79.957
bitrate,2000,1401,800,1401
framerate,29.97,29.97,29.97,29.97
bufferLevel,6.53,46.577,46.53,46.941
GMSD,0,0,0.78130,0
bitrateSwitch,0,1,1,1
stalling,0,0,0,0
stallingTime (sec),0,0,0,0
Throughput (Kbps),7765,16739,2671,3763

IP,10.0.0.50
Attribute,HIGH
initTime,2023-05-11 13:14:37.465488
endTime,2023-05-11 13:16:50.887176
liveTime(sec),133.421688
startupDelay,808
Total stalling Event,0
player width,1280
player height,720
time,42.479,46.661,80.145
elapsed,0.000,4.182,37.666
bitrate,2000,1401,800
framerate,29.97,29.97,29.97
bufferLevel,7.038,46.751,47.414
GMSD,0,0,0
bitrateSwitch,0,1,1
stalling,0,0,0
stallingTime (sec),0,0,0
Throughput (Kbps),7765,16264,3246

IP,10.0.0.37
Attribute,HIGH
initTime,2023-05-11 13:14:39.304738
endTime,2023-05-11 13:16:50.887179
liveTime(sec),131.582441
startupDelay,1618
Total stalling Event,0
player width,1280
player height,720
time,42.838,128.972
elapsed,0.000,86.134
bitrate,400,400
framerate,29.97,29.97
bufferLevel,44.071,40.412
GMSD,0,0
bitrateSwitch,0,0
stalling,0,0
stallingTime (sec),0,0
Throughput (Kbps),6991,553

IP,10.0.0.48
Attribute,HIGH
initTime,2023-05-11 13:14:39.982197
endTime,2023-05-11 13:16:50.887181
liveTime(sec),130.904984
startupDelay,533
Total stalling Event,0
player width,1280
player height,720
time,45.269,59.412,59.963,59.964,113.936
elapsed,0.000,14.143,14.694,14.695,68.667
bitrate,2000,2000,2000,2000,2000
framerate,29.97,29.97,29.97,29.97,29.97
bufferLevel,7.818,5.944,6.795,4.827,7.719
GMSD,0,0,0,0,0
bitrateSwitch,0,0,0,0,0
stalling,0,0,0,0,0
stallingTime (sec),0,0,0,0,0
Throughput (Kbps),5899,1807,1866,1823,4619

IP,10.0.0.38
Attribute,HIGH
initTime,2023-05-11 13:14:40.408398
endTime,2023-05-11 13:16:50.887184
liveTime(sec),130.478786
startupDelay,646
Total stalling Event,0
player width,1280
player height,720
time,45.402,65.249,84.826
elapsed,0.000,19.847,39.424
bitrate,2000,800,1401
framerate,29.97,29.97,29.97
bufferLevel,5.672,46.627,46.637
GMSD,0,0,0
bitrateSwitch,0,1,1
stalling,0,0,0
stallingTime (sec),0,0,0
Throughput (Kbps),8593,1474,16739

IP,10.0.0.46
Attribute,HIGH
initTime,2023-05-11 13:14:40.982671
endTime,2023-05-11 13:16:50.887187
liveTime(sec),129.904516
startupDelay,1150
Total stalling Event,0
player width,1280
player height,720
